uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
asx_close,,asx_close,asx_close,External Data: Financial Markets: Australia,0.5,30.7,30.33,29.02,29.86,30.45,32.34,32.1,34.42,36.45,29.7,29.44,31.21,35,36.45,36.19,37.61,37.4,33.07,34.7,35.45
asx_volume,,asx_volume,asx_volume,External Data: Financial Markets: Australia,0.5,694000,945400,1026700,798500,1023900,726700,1369000,785300,930400,573000,594400,483800,581000,762600,718600,676700,631400,894800,648800,671400
hang_seng_open,,hang_seng_open,hang_seng_open,External Data: Financial Markets: Hong Kong,0.5,17179.2,20790.22,22739.55,22813.25,23686.77,23720.81,23664.48,23317.96,23451.62,20840.38,21573.93,22070.44,22860.25,23763.34,22957.09,22299.63,22737.01,22301.68,20803.29,22025.75
hang_seng_high,,hang_seng_high,hang_seng_high,External Data: Financial Markets: Hong Kong,0.5,20272.38,20975.3,22808.33,22835.03,23706,23924.48,24468.64,23934.07,23981.74,21847.7,22149.7,22718.83,23916.16,23944.74,23262.02,22862.69,23512.42,22564.18,22070.14,22695.99
hang_seng_low,,hang_seng_low,hang_seng_low,External Data: Financial Markets: Hong Kong,0.5,16170.35,16999.54,18868.11,21611.16,21508.77,22519.66,23468.2,22123.26,22446.67,20767.36,21098.41,21687.88,22860.25,22445.34,21975.9,21423.25,22290.72,19426.36,20119.56,21465.72
hang_seng_close,,hang_seng_close,hang_seng_close,External Data: Financial Markets: Hong Kong,0.5,19864.87,17592.41,20534.85,22440.25,22398.1,23684.13,23720.81,23527.52,23338.02,21641.82,22030.39,22656.92,23729.53,23020.27,22299.63,22737.01,22392.16,20803.29,21883.66,21731.37
hang_seng_volume,,hang_seng_volume,hang_seng_volume,External Data: Financial Markets: Hong Kong,0.5,2298894000,2334174000,2621420000,1999129500,1745792200,1289308800,1457782400,1906962900,1643417500,1593868900,1441551100,1500475500,1753042300,1557330600,1932594600,1525176900,1592387100,2392547600,1506915800,1552296900
s_p_open,,s_p_open,s_p_open,External Data: Financial Markets: United States,0.5,1131.21,1219.12,1292.59,1320.64,1345.2,1365.21,1329.48,1328.64,1289.14,1440.9,1412.2,1416.34,1426.19,1498.11,1514.68,1569.18,1597.55,1631.71,1609.78,1689.42
s_p_high,,s_p_high,s_p_high,External Data: Financial Markets: United States,0.5,1292.66,1229.29,1307.38,1356.48,1345.2,1370.58,1364.56,1332.28,1344.07,1470.96,1434.27,1448,1509.94,1530.94,1570.28,1597.57,1687.18,1654.19,1698.78,1709.67
s_p_low,,s_p_low,s_p_low,External Data: Financial Markets: United States,0.5,1074.77,1114.22,1101.54,1282.86,1258.07,1311.8,1294.7,1249.05,1289.14,1403.28,1343.35,1398.11,1426.19,1485.01,1501.48,1536.03,1581.28,1560.33,1604.57,1627.47
s_p_close,,s_p_close,s_p_close,External Data: Financial Markets: United States,0.5,1253.3,1131.42,1218.89,1292.28,1320.64,1345.2,1363.61,1325.83,1327.22,1412.16,1416.18,1426.19,1498.11,1514.68,1569.19,1597.57,1630.74,1606.28,1685.73,1632.97
s_p_volume,,s_p_volume,s_p_volume,External Data: Financial Markets: United States,0.5,4874946600,5104933800,4942913400,4308168000,4105601300,4114534200,4042194000,4046691700,3225297300,3587115700,3593110000,3479625500,3802304200,3851884200,3591577500,3674685000,3661220400,3996199000,3270645900,3069868600
ftse_open,,ftse_open,ftse_open,External Data: Financial Markets: United Kingdom,0.5,5128.5,5394.5,5815.2,5945.7,5990,6069.9,5908.8,5994,5862.9,5742.1,5782.7,5866.8,5897.8,6276.9,6360.8,6411.7,6430.1,6583.1,6215.5,6621.1
ftse_high,,ftse_high,ftse_high,External Data: Financial Markets: United Kingdom,0.5,5747.3,5449.7,5913.5,6084.1,5995.2,6103.7,6091.8,6052.1,6105.8,5928.3,5921.8,5997,6354.5,6412.4,6534,6501.8,6875.6,6583.1,6662.2,6696.6
ftse_low,,ftse_low,ftse_low,External Data: Financial Markets: United Kingdom,0.5,4868.6,4928.1,4791,5752.8,5644.4,5810.5,5858.3,5591.6,5861,5738.6,5605.6,5852.9,5897.8,6216.7,6308.6,6214.4,6409.8,6023.4,6185.2,6386.7
ftse_close,,ftse_close,ftse_close,External Data: Financial Markets: United Kingdom,0.5,5544.2,5128.5,5394.5,5815.2,5945.7,5990,6069.9,5908.8,5994,5782.7,5866.8,5897.8,6276.9,6360.8,6411.7,6430.1,6583.1,6215.5,6621.1,6412.9
ftse_volume,,ftse_volume,ftse_volume,External Data: Financial Markets: United Kingdom,0.5,907649300,981980500,1232405500,858918500,921906300,942955800,760782900,904076700,897500900,749381600,766676200,539135500,683652300,752075300,829247700,733880200,809418700,842426500,671092900,690143000
nikkei_open,,nikkei_open,nikkei_open,External Data: Financial Markets: Japan,0.5,8567.98,9017.01,9907.04,9878.69,9708.05,9964.39,9757.28,10676.24,10281.55,8815.07,8931.71,9484.2,10604.5,11193.72,11464.71,12371.34,13837.72,13551.36,13746.72,13674.5
nikkei_high,,nikkei_high,nikkei_high,External Data: Financial Markets: Japan,0.5,9152.39,9098.15,10040.13,10207.91,9849.69,10017.47,9849.74,10768.43,10891.6,9075.59,9492.91,10433.63,11145.38,11662.52,12650.26,13983.87,15942.6,13724.44,14953.29,14466.16
nikkei_low,,nikkei_low,nikkei_low,External Data: Financial Markets: Japan,0.5,8343.01,8359.7,8619.21,9824.34,9318.62,9406.04,9405.19,8227.63,10245.75,8488.14,8619.45,9376.97,10398.61,11046.92,11464.71,11805.78,13555.66,12415.85,13562.7,13188.14
nikkei_close,,nikkei_close,nikkei_close,External Data: Financial Markets: Japan,0.5,8988.39,8700.29,8955.2,9833.03,9816.09,9693.73,9849.74,9755.1,10624.09,8928.29,9446.01,10395.18,11138.66,11559.36,12397.91,13860.86,13774.54,13677.32,13668.32,13388.86
nikkei_volume,,nikkei_volume,nikkei_volume,External Data: Financial Markets: Japan,0.5,125200,140600,154900,129800,137500,138500,157400,226300,166800,130600,135500,191300,242700,290300,221600,307000,355700,249400,196800,150600
aus_cash_rate,,aus_cash_rate,aus_cash_rate,External Data: Interest Rates,0.5,4.7,4.7,4.558333333,4.416666667,4.275,4.133333333,3.991666667,3.85,3.5,3.2725,3.25,3.0275,3,3,3,3,2.8,2.75,2.75,2.55
policy_interest_rate_euro,,policy_interest_rate_euro,policy_interest_rate_euro,External Data: Interest Rates,0.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
policy_interest_rate_japan,,policy_interest_rate_japan,policy_interest_rate_japan,External Data: Interest Rates,0.5,0.2,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.72,0.71,0.78,0.78,0.67,0.49,0.59,0.88,0.82,0.79,0.71
aus_10_yr_govt_bond_yield,,aus_10_yr_govt_bond_yield,aus_10_yr_govt_bond_yield,External Data: Interest Rates,0.5,3.783333333,3.7,3.675,3.65,3.625,3.6,3.575,3.55,3.525,3.0225,3.0875,3.2275,3.3975,3.4975,3.5125,3.245,3.225,3.54,3.75,3.86
usa_10_yr_govt_bond_yield,,usa_10_yr_govt_bond_yield,usa_10_yr_govt_bond_yield,External Data: Interest Rates,0.5,2.25,2.2,2.183333333,2.166666667,2.15,2.133333333,2.116666667,2.1,2.083333333,1.694,1.616,1.756,1.985,1.881,1.852,1.673,2.132,2.487,2.588,2.789
germany_10_yr_govt_bond_yield,,germany_10_yr_govt_bond_yield,germany_10_yr_govt_bond_yield,External Data: Interest Rates,0.5,2.141666667,2.1,2.05,2,1.95,1.9,1.85,1.8,1.75,1.459,1.383,1.306,1.677,1.458,1.282,1.211,1.511,1.73,1.676,1.855
jpn_10_yr_govt_bond_yield,,jpn_10_yr_govt_bond_yield,jpn_10_yr_govt_bond_yield,External Data: Interest Rates,0.5,1.116666667,1.1,1.075,1.05,1.025,1,0.975,0.95,0.925,0.776,0.712,0.802,0.754,0.665,0.556,0.611,0.867,0.844,0.798,0.72
Sydney_temperature,,Sydney_temperature,Sydney_temperature,External Data: Weather: Temperature,0.5,26.1,25.8,24.7,23.6,20.9,17.7,17.6,19.9,22.5,23.3,24.1,26,27.6,26.2,26.4,24,21.3,18.1,19.5,21.1
Melbourne_temperature,,Melbourne_temperature,Melbourne_temperature,External Data: Weather: Temperature,0.5,27.1,26.8,22.7,21.4,16,13.7,13.8,14.3,17.9,20.5,23.3,24.7,27.5,28.8,27.6,21.3,18.1,15.4,15.9,16.5
Brisbane_temperature,,Brisbane_temperature,Brisbane_temperature,External Data: Weather: Temperature,0.5,29.1,30.2,28.4,26.7,24.2,20.9,21.3,23.6,26.3,28.1,29,30.8,31.4,28.6,28.4,26.7,23.3,21,21.8,24.8
Cairns_temperature,,Cairns_temperature,Cairns_temperature,External Data: Weather: Temperature,0.5,31.4,30.7,29,28.5,25.9,25.2,24.4,25.8,28.3,30,31.4,33.1,32.2,31.9,30.8,29.4,27.6,26.9,26.4,27.9
Adelaide_temperature,,Adelaide_temperature,Adelaide_temperature,External Data: Weather: Temperature,0.5,30,26.7,25.3,23.6,18,15.3,15.1,15.5,19.1,21.9,26.6,27,28.5,28.7,28.4,23.8,20.6,16.4,16.2,17.2
Perth_temperature,,Perth_temperature,Perth_temperature,External Data: Weather: Temperature,0.5,33.5,31.1,31.4,26.4,23.1,19.6,19.4,20.1,21.5,25,25.9,31.2,31.7,34.1,28,28.5,21.5,19,18.8,20.4
Hobart_temperature,,Hobart_temperature,Hobart_temperature,External Data: Weather: Temperature,0.5,23.7,22.5,20.7,19.6,15.4,12.5,12.9,13.8,15.9,17.5,20.4,22.5,23.9,23.5,22.9,17.9,16,13,13.7,14.2
Darwin_temperature,,Darwin_temperature,Darwin_temperature,External Data: Weather: Temperature,0.5,33.4,34.2,33,34.3,32.7,31.3,32.6,34.5,37.3,36.7,37,36.9,35.1,35,32,33.7,32.7,31.8,31.5,32.1
Brisbane_rainfall,,Brisbane_rainfall,Brisbane_rainfall,External Data: Weather:Rainfall,0.5,18,25,63.2,27,62.4,126.4,66.2,68,21.8,20,17.6,11.6,11.6,11.8,19.6,33.2,54.8,76.4,119.2,84.4
Cairns_rainfall,,Cairns_rainfall,Cairns_rainfall,External Data: Weather:Rainfall,0.5,355.4,268.2,907.6,156.6,144.2,15.6,43.6,5.8,13,29,21.8,42.6,326.8,116.8,183.6,93.4,172.4,27,37.6,3.6
Perth_rainfall,,Perth_rainfall,Perth_rainfall,External Data: Weather:Rainfall,0.5,27.4,19,0,53.2,39.8,134.4,30.6,117.8,103.8,13.8,84.8,24.8,8.2,1,60.2,7.8,112.2,23,119.2,160.6
Hobart_rainfall,,Hobart_rainfall,Hobart_rainfall,External Data: Weather:Rainfall,0.5,56,22.6,30.8,22,92.2,33.2,18.2,57.8,68,29,24.8,22,11.4,23.4,48.6,21.2,23,51,101.4,61
Darwin_rainfall,,Darwin_rainfall,Darwin_rainfall,External Data: Weather:Rainfall,0.5,459.2,250.2,572.4,70.2,51.4,0,0,0,21.2,16.8,79.3,203,219.8,398.4,381,101.6,31.6,0.6,0,2.6
Sydney_rainfall,,Sydney_rainfall,Sydney_rainfall,External Data: Weather:Rainfall,0.5,138.8,111,269.8,187,37.2,244.2,56.2,19,23.8,29.4,52,45.2,137.8,165.4,65.6,199.8,110.2,316.4,32.6,14.8
Adelaide_rainfall,,Adelaide_rainfall,Adelaide_rainfall,External Data: Weather:Rainfall,0.5,18,25,63.2,27,62.4,126.4,66.2,68,21.8,20,17.6,11.6,11.6,11.8,19.6,33.2,54.8,76.4,119.2,84.4
Melbourne_rainfall,,Melbourne_rainfall,Melbourne_rainfall,External Data: Weather:Rainfall,,29.4,59.8,59,50.6,82.6,72.4,59,52.8,39.2,29.2,37.2,30,7.6,66.4,41.4,28,38,99.8,62.4,58.6
Sydney_wind,,Sydney_wind,Sydney_wind,External Data: Weather:Wind Speed,,96,65,65,57,81,65,94,80,93,69,78,78,78,96,65,65,57,81,65,94
Melbourne_wind,,Melbourne_wind,Melbourne_wind,External Data: Weather:Wind Speed,,72,96,63,94,65,80,93,96,96,61,74,93,81,72,96,63,94,65,80,93
Brisbane_wind,,Brisbane_wind,Brisbane_wind,External Data: Weather:Wind Speed,,46,48,43,44,39,37,46,41,48,61,39,44,70,46,48,43,44,39,37,46
Cairns_wind,,Cairns_wind,Cairns_wind,External Data: Weather:Wind Speed,,52,63,65,65,59,63,52,72,56,56,52,56,69,52,63,65,65,59,63,52
Adelaide_wind,,Adelaide_wind,Adelaide_wind,External Data: Weather:Wind Speed,,54,63,52,52,59,76,69,81,76,65,74,63,56,54,63,52,52,59,76,69
Perth_wind,,Perth_wind,Perth_wind,External Data: Weather:Wind Speed,,56,48,41,57,43,76,59,83,43,56,46,46,50,56,48,41,57,43,76,59
Hobart_wind,,Hobart_wind,Hobart_wind,External Data: Weather:Wind Speed,,70,89,96,102,61,98,96,81,102,80,83,93,98,70,89,96,102,61,98,96
Darwin_wind,,Darwin_wind,Darwin_wind,External Data: Weather:Wind Speed,,63,57,52,50,57,57,57,61,72,89,63,63,80,63,57,52,50,57,57,57
